names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,levels
Civil engineering,,0.33985767830208224,,0.03228700681687561,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.1623175341762458,0.015420417624899601,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
"Wholesale trade, except of motor vehicles and motorcycles",,1.426101314538185,,0.12331783789298431,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.6811123115352685,0.058897146201721054,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Water transport,0.001311357211839687,0.0038557738062560297,0.005152041572920187,0.0003747601723846746,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.0018415346673925713,0.00017898712011701662,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of rubber and plastic products,-0.0033352671510163746,0.003567677153035819,0.0027151098325722345,0.0002731077651652866,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.0017039384283175538,0.00013043747967527653,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Unknown,0.020133493830900805,0.020133493830900805,0.011778555241831605,0.001209216907126595,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.009615845930894928,0.0005775273568324519,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of electrical equipment,-0.0006858696421461848,0.0007325475943170901,0.0005580509948981202,5.3300459186398894e-05,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.0003498679793563528,2.54565356558104e-05,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
"Crop and animal production, hunting and related service activities",,0.05464492918276798,,0.010164061953472544,300,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,0,290,2444.5402131080627,7500,209.37829053826175,0.02609866048781317,0.004854401059127554,1,_market_for_photovoltaics__electric_installation_for_3kWp_module__at_building___unit__GLO__None_,12
Manufacture of chemicals and chemical products,,1.1248973154250346,,0.08769217630290242,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,6.731487155935138,0.5247579048901428,173,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
Manufacture of machinery and equipment,,0.0010528269824971333,,8.469474533204295e-05,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,0.006300211773039562,0.0005068210071800447,43,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
Manufacture of fabricated metal products,,0.00013861833751854381,,1.1829571691098358e-05,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,0.0008295046541475577,7.078922565368079e-05,29,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
"Electricity, gas, steam and air conditioning supply",,1.9283066033126761,,0.1976145118027312,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,11.53916091265597,1.1825430906321046,21,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
Manufacture of coke and refined petroleum products,,0.05298870686170683,,0.004722720334264302,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,0.31708920872872537,0.028261185119071837,14,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
Manufacture of electrical equipment,,0.08769660139350809,,0.0077514453078623815,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,0.5247843850320788,0.04638534896858024,12,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
"Waste collection, treatment, and disposal activities",,0.16159544659116692,,0.012163468896714484,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,0.9670017505331441,0.07278729669553258,11,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
Land transport and transport via pipelines,,0.27013740588531426,,0.025644255525229438,300,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,0,373,2067.4678699970245,7200,16.71097766907592,1.6165266403605474,0.15345754170137377,11,_market_for_battery__Li_ion__NCA__rechargeable__prismatic___kilogram__GLO__None_,12
