names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category
"'market for electricity, high voltage' (kilowatt hour, NL, None)",,0.010478407,,0.002412097,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.365062169,0.084036199,
"'market for electricity, high voltage' (kilowatt hour, TW, None)",,0.010037747,,0.002459764,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.349709834,0.085696894,
"'market for transport, freight train' (ton kilometer, CN, None)",,0.010024006,,0.001139901,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.349231092,0.039713549,
"'market for electricity, high voltage' (kilowatt hour, GR, None)",,0.009967963,,0.002264718,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.347278571,0.078901594,
"'market for electricity, high voltage' (kilowatt hour, PT, None)",,0.009901103,,0.003022722,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.344949219,0.105310041,
"'market for electricity, high voltage' (kilowatt hour, KR, None)",,0.009845772,,0.002173368,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.343021502,0.075719006,
"'market for electricity, high voltage' (kilowatt hour, OM, None)",,0.009494582,,0.00239806,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.33078624,0.083547162,
"'market for electricity, medium voltage' (kilowatt hour, GB, None)",-0.009491027,0.009491027,0.021408513,0.002564385,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.330662384,0.089341834,
"'market for electricity, medium voltage' (kilowatt hour, DK, None)",0.009455371,0.009455371,0.019618163,0.001998737,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.329420155,0.06963495,
"'market for electricity, high voltage' (kilowatt hour, HU, None)",,0.008906127,,0.002432096,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.310284763,0.08473295,
"'market for electricity, high voltage' (kilowatt hour, PH, None)",,0.008765892,,0.002665106,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.305399065,0.092850877,
"'market for electricity, high voltage' (kilowatt hour, IL, None)",,0.008751579,,0.002093455,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.304900399,0.072934853,
"'market for electricity, high voltage' (kilowatt hour, TR, None)",,0.008589385,,0.001592681,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.299249642,0.055488157,
"'market for electricity, high voltage' (kilowatt hour, AT, None)",,0.008469063,,0.001433803,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.29505768,0.049952941,
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.008130859,,0.001794577,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.283274831,0.062522118,
"'market for electricity, high voltage' (kilowatt hour, CN-CSG, None)",,0.007964377,,0.001861063,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.277474699,0.064838462,
"'market for electricity, medium voltage' (kilowatt hour, US-NPCC, None)",-0.007845202,0.007852398,0.016881229,0.00193811,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.273573407,0.067522714,
"'market for electricity, high voltage' (kilowatt hour, GB, None)",,0.007696356,,0.002651689,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.268136972,0.092383433,
"'market for electricity, high voltage' (kilowatt hour, FR, None)",,0.007619579,,0.001578394,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.265462132,0.054990412,
"'market for electricity, high voltage' (kilowatt hour, IT, None)",,0.007552169,,0.001921316,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.263113604,0.066937633,
"'market for natural gas, high pressure' (cubic meter, RoW, None)",,0.00751774,,0.000902023,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.261914104,0.031426,
"'market for maize grain' (kilogram, BR, None)",,0.007466244,,0.001488655,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.260120016,0.051863957,
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.007107203,,0.0008088,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.247611213,0.028178154,
"'market for electricity, high voltage' (kilowatt hour, ES, None)",,0.006952173,,0.001628171,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.242210033,0.056724631,
"'market for electricity, high voltage' (kilowatt hour, BE, None)",,0.006944134,,0.002154332,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.241929978,0.075055799,
"'market for natural gas, high pressure' (cubic meter, FR, None)",,0.006595246,,0.000984642,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.22977489,0.0343044,
"'market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.006367057,,0.001144042,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.221824902,0.039857807,
"'market for electricity, high voltage' (kilowatt hour, US-TRE, None)",,0.006300965,,0.001614664,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.219522285,0.056254033,
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.006255324,,0.002054951,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.217932185,0.071593402,
"'market group for heat, district or industrial, other than natural gas' (megajoule, RER, None)",0.006195636,0.006195636,0.002368989,0.000266872,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.215852707,0.009297679,
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.006049382,,0.001652354,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.210757268,0.057567127,
"'market for electricity, high voltage' (kilowatt hour, IN-Eastern grid, None)",,0.005915459,,0.001361025,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.206091489,0.047417394,
"'market group for electricity, medium voltage' (kilowatt hour, IN, None)",,0.00589238,,0.001270853,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.2052874,0.044275855,
"'market for electricity, high voltage' (kilowatt hour, IR, None)",,0.005883985,,0.001328374,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.204994935,0.046279835,
"'transport, freight, lorry, all sizes, EURO5 to generic market for transport, freight, lorry, unspecified' (ton kilometer, BR, None)",,0.005585038,,0.001179184,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.194579797,0.041082154,
"'market for electricity, high voltage' (kilowatt hour, SG, None)",,0.005431702,,0.001374662,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.18923764,0.047892516,
"'market group for electricity, medium voltage' (kilowatt hour, CN, None)",0.004392553,0.005230814,0.011489387,0.001217109,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.182238812,0.04240342,
"'market for electricity, high voltage' (kilowatt hour, IQ, None)",,0.005161813,,0.001916087,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.179834858,0.066755471,
"'market for electricity, high voltage' (kilowatt hour, SA, None)",,0.004752871,,0.000968068,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.165587527,0.033726977,
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.004593752,,0.00058746,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.16004391,0.020466807,
"'market group for electricity, medium voltage' (kilowatt hour, GLO, None)",,0.004538496,,0.000413015,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.158118798,0.014389212,
"'market for electricity, high voltage' (kilowatt hour, DK, None)",,0.004333443,,0.001021751,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.150974858,0.035597284,
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",,0.004327387,,0.001517414,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.150763899,0.052865896,
"'market group for heat, district or industrial, other than natural gas' (megajoule, GLO, None)",,0.004253527,,0.000617682,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.148190654,0.021519724,
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.004181454,,0.001240255,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.145679657,0.043209842,
"'market for electricity, high voltage' (kilowatt hour, MX, None)",,0.004144569,,0.000698908,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.144394587,0.024349586,
"'market for electricity, high voltage' (kilowatt hour, CA-AB, None)",,0.004064996,,0.001244009,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.141622313,0.043340611,
"'market group for transport, freight, light commercial vehicle' (ton kilometer, RER, None)",-0.004023982,0.004023982,0.003607655,0.000400355,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.140193416,0.01394815,
"'market for transport, freight, lorry, unspecified' (ton kilometer, ZA, None)",,0.003864125,,0.000541046,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.134624072,0.018849763,
"'market for electricity, high voltage' (kilowatt hour, TH, None)",,0.003739618,,0.000403883,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.130286313,0.014071079,
"'market for electricity, high voltage' (kilowatt hour, US-NPCC, None)",,0.003723389,,0.001117575,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.129720903,0.038935736,
"'market for electricity, high voltage' (kilowatt hour, KW, None)",,0.003618809,,0.001182996,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.126077385,0.04121495,
"'market for natural gas, high pressure' (cubic meter, PL, None)",,0.003574843,,0.000394085,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.124545635,0.013729714,
"'market for electricity, high voltage' (kilowatt hour, AE, None)",,0.003494112,,0.000921749,300,_market_for_ascorbic_acid___kilogram__GLO__None_,304,16009.74791,62700,2.870307461,0.121733005,0.032113235,
