names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,ISIC category,,,
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.016011178,0.016011178,0.013393145,0.001740213,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.01359052,0.002050169,,,,
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.015650297,,0.00164316,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.013284199,0.00193583,,,,
"'market group for electricity, high voltage' (kilowatt hour, UCTE, None)",,0.015567789,,0.006149263,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.013214165,0.007244531,,,,
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",,0.013911694,,0.003645198,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.011808447,0.004294457,,,,
"'market group for electricity, high voltage' (kilowatt hour, GLO, None)",,0.01349698,,0.002725388,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.011456432,0.003210817,,,,
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.012488993,,0.001320114,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.010600838,0.001555245,,,,
"'market for electricity, high voltage' (kilowatt hour, CN-NWG, None)",,0.011938712,,0.001858517,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.010133752,0.002189545,,,,
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",,0.011471735,,0.001796956,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.009737375,0.002117018,,,,
"'market for heavy fuel oil, burned in refinery furnace' (megajoule, GLO, None)",-0.000185184,0.007278198,0.010665465,0.000802579,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.00617784,0.000945529,,,,
"'market group for electricity, low voltage' (kilowatt hour, CN, None)",0.00479118,0.006151062,0.006366497,0.000568987,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.005221111,0.000670331,,,,
"'market group for electricity, high voltage' (kilowatt hour, CN-SGCC, None)",,0.004812838,,0.000865363,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.004085206,0.001019496,,,,
"'market group for electricity, high voltage' (kilowatt hour, RAS, None)",,0.0019113,,0.000267998,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.001622339,0.000315732,,,,
"'market group for electricity, high voltage' (kilowatt hour, CN, None)",-0.000830628,0.001309984,0.001716102,0.000154504,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.001111934,0.000182024,,,,
"'market for natural gas, high pressure' (cubic meter, RU, None)",-0.001029494,0.001029791,0.001062071,0.000130695,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,188,8982.936626,29700,117.8113726,0.000874102,0.000153974,,,,
