names,mu,mu_star,sigma,mu_star_conf,reference_product,trajectories,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative
"'market group for electricity, medium voltage' (kilowatt hour, RME, None)",,0.044373237,,0.008320785,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.037664646,0.007062803
"'market for heat, district or industrial, other than natural gas' (megajoule, RoW, None)",,0.042226724,,0.004472037,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.035842655,0.00379593
"'market for petrol, unleaded' (kilogram, ZA, None)",,0.038498683,,0.005108264,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.03267824,0.004335968
"'market for electricity, high voltage' (kilowatt hour, US-SERC, None)",,0.031846184,,0.008130812,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.027031502,0.006901551
"'market group for electricity, low voltage' (kilowatt hour, RAS, None)",,0.030356494,,0.00339635,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.025767032,0.002882871
"'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, None)",,0.028826743,,0.004500635,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.024468557,0.003820204
"'market for electricity, high voltage' (kilowatt hour, CN-CCG, None)",,0.028272708,,0.007102061,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.023998284,0.006028332
"'market group for transport, freight, light commercial vehicle' (ton kilometer, GLO, None)",,0.027837605,,0.00103808,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.023628962,0.000881137
"'market for electricity, high voltage' (kilowatt hour, JP, None)",,0.02774119,,0.00443319,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.023547124,0.003762956
"'market for electricity, high voltage' (kilowatt hour, CN-NECG, None)",,0.027243092,,0.005781475,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.023124331,0.0049074
"'market for electricity, high voltage' (kilowatt hour, US-RFC, None)",,0.025177983,,0.00893905,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.021371437,0.007587595
"'market for electricity, high voltage' (kilowatt hour, US-MRO, None)",,0.0239745,,0.009201837,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.020349903,0.007810653
"'market for electricity, high voltage' (kilowatt hour, CN-NCGC, None)",,0.023861336,,0.005568592,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.020253848,0.004726702
"'market for electricity, high voltage' (kilowatt hour, CN-ECGC, None)",,0.019304332,,0.004991697,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.016385797,0.004237025
"'market for electricity, high voltage' (kilowatt hour, IN-Northern grid, None)",,0.018794057,,0.003730808,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.015952668,0.003166764
"'market for electricity, medium voltage' (kilowatt hour, US-WECC, None)",0.018150403,0.018156072,0.019946372,0.002412307,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.015411137,0.002047601
"'market for electricity, high voltage' (kilowatt hour, IN-Western grid, None)",,0.017047714,,0.003889539,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.014470347,0.003301497
"'market for natural gas, high pressure' (cubic meter, US, None)",,0.01663809,,0.001897879,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.014122652,0.001610947
"'market for diesel' (kilogram, IN, None)",-0.012336009,0.016274958,0.03012908,0.003422566,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.01381442,0.002905124
"'market for kerosene' (kilogram, RoW, None)",,0.015981068,,0.001595621,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.013564962,0.001354386
"'market group for natural gas, high pressure' (cubic meter, Europe without Switzerland, None)",,0.015426538,,0.001534564,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.013094269,0.00130256
"'market for petrol, unleaded' (kilogram, BR, None)",-0.014472186,0.014472186,0.014595169,0.001573796,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.012284201,0.001335861
"'market for electricity, high voltage' (kilowatt hour, US-WECC, None)",,0.013887286,,0.001635567,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.01178773,0.001388293
"'market for chemical factory, organics' (unit, GLO, None)",-0.0112169,0.011417208,0.008679223,0.000946468,"market for sawnwood,  board, softwood,  raw dried (u=20\%), 1 m^3,  CH",300,195,11808.71646,38100,117.8113726,0.009691092,0.000803376
